pr_id,author,created_at,merged_at,num_comments,num_review_comments,num_commits,accepted
5140,Jeroendevr,2023-05-24T09:23:00Z,2023-05-31T16:14:56Z,0,0,1,True
5136,pg1992,2023-05-18T12:27:57Z,2023-05-18T12:33:44Z,1,0,1,True
5127,pgjones,2023-05-15T19:24:37Z,2023-08-20T16:32:09Z,3,4,8,True
5126,pgjones,2023-05-14T15:10:35Z,2023-05-14T16:43:35Z,0,0,1,True
5111,davidism,2023-05-02T17:39:58Z,2023-05-02T17:41:41Z,0,0,2,True
5110,davidism,2023-05-02T14:35:48Z,2023-05-02T14:43:49Z,0,0,1,True
5109,davidism,2023-05-02T14:15:25Z,2023-05-02T14:18:08Z,0,0,1,True
5108,davidism,2023-05-02T14:07:29Z,2023-05-02T14:12:59Z,0,0,1,True
5106,dependabot[bot],2023-05-01T16:57:15Z,2023-05-01T17:22:01Z,0,0,1,True
5105,dependabot[bot],2023-05-01T16:57:11Z,2023-05-01T17:17:25Z,0,0,1,True
